Timestamp,Value,Pod
2023-07-11 13:00:54,986.506527,wpsd8
2023-07-11 13:01:54,986.613476,wpsd8
2023-07-11 13:02:54,987.32486,wpsd8
2023-07-11 13:03:54,988.182499,wpsd8
2023-07-11 13:04:54,989.574458,wpsd8
2023-07-11 13:05:54,991.057498,wpsd8
2023-07-11 13:06:54,992.665023,wpsd8
2023-07-11 13:07:54,995.271285,wpsd8
2023-07-11 13:08:54,998.211535,wpsd8
2023-07-11 13:09:54,1000.506666,wpsd8
2023-07-11 13:10:54,1004.250132,wpsd8
2023-07-11 13:11:54,1008.000175,wpsd8
2023-07-11 13:12:54,1011.22186,wpsd8
2023-07-11 13:13:54,1016.366747,wpsd8
2023-07-11 13:14:54,1020.891603,wpsd8
2023-07-11 13:15:54,1024.212341,wpsd8
2023-07-11 13:16:54,1029.01707,wpsd8
