Timestamp,Value,Pod
2023-07-11 13:00:54,1663.476545,zjrsx
2023-07-11 13:01:54,1663.599073,zjrsx
2023-07-11 13:02:54,1663.809548,zjrsx
2023-07-11 13:03:54,1663.984404,zjrsx
2023-07-11 13:04:54,1664.223116,zjrsx
2023-07-11 13:05:54,1664.414066,zjrsx
2023-07-11 13:06:54,1664.655775,zjrsx
2023-07-11 13:07:54,1664.961052,zjrsx
2023-07-11 13:08:54,1665.178235,zjrsx
2023-07-11 13:09:54,1665.513162,zjrsx
2023-07-11 13:10:54,1665.737295,zjrsx
2023-07-11 13:11:54,1666.087771,zjrsx
2023-07-11 13:12:54,1666.363022,zjrsx
2023-07-11 13:13:54,1666.778754,zjrsx
2023-07-11 13:14:54,1667.184475,zjrsx
2023-07-11 13:15:54,1667.58202,zjrsx
2023-07-11 13:16:54,1667.919777,zjrsx
